Neighborhood,Sublocality,City,Property Type,Price (INR),Area (sq ft),Bedrooms,Price per sq ft,Monthly Rent (INR),Schools Nearby,Hospitals Nearby,Public Transport,Amenities,Community Sentiment,Crime Rate,Professions,General Income (INR)
Uttamnagar,Near Warje,Pune,Apartment,9200000,1400,3,6571,28000,6,5,High,Gym,High,Low,"(Teacher, Financial Analyst, Sales Director)",100000-300000
Warje Malwadi,Near Sinhagad Road,Pune,Apartment,9500000,1450,3,6552,29000,6,5,High,Security,High,Low,"(Marketing Executive, IT Engineer, Consultant)",90000-280000
Dhayari,Near Narhe,Pune,Apartment,9000000,1400,3,6429,27000,6,5,High,Parking,High,Low,"(HR Manager, Retail Executive, Software Developer)",85000-250000
Ghotawade,Near Pirangut,Pune,Apartment,8500000,1300,3,6538,25000,5,4,High,Gated Security,High,Low,"(Project Engineer, Architect, Consultant)",80000-250000
Nere,Near Hinjewadi Phase 3,Pune,Apartment,7800000,1250,3,6240,22000,5,4,High,Security,High,Low,"(Software Engineer, Financial Consultant, Business Analyst)",70000-200000
Wadebolai,Near Wagholi,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant)",50000-120000
Kharki,Near Khadki Cantonment,Pune,Apartment,9800000,1350,3,7259,28000,6,5,High,Gym,High,Low,"(Military Officer, Government Employee, Business Consultant)",120000-350000
Dhomkhed,Near Alandi,Pune,House,4800000,1700,3,2824,13000,3,2,Moderate,Garden,Moderate,Moderate,"(Agricultural Consultant, Temple Priest, Retailer)",40000-120000
Kesnand,Near Wagholi,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Kasarsai,Near Hinjewadi,Pune,Apartment,7500000,1100,2,6818,18000,5,4,High,Gated Community,High,Low,"(Software Developer, Data Analyst, IT Consultant)",80000-250000
Marunji,Near Phase 3 Hinjewadi,Pune,Apartment,8200000,1200,2,6833,20000,6,4,High,Security,High,Low,"(Project Manager, IT Support, Engineer)",90000-280000
Moshi,Near Spine Road,Pune,Apartment,8900000,1250,3,7120,25000,6,5,High,Clubhouse,High,Low,"(Software Engineer, Marketing Executive, Financial Analyst)",100000-300000
Charholi,Near D.Y. Patil Knowledge City,Pune,Apartment,7800000,1200,3,6500,21000,5,4,High,Gym,High,Low,"(HR Manager, Teacher, Consultant)",75000-220000
Vadgaon Maval,Near Expressway,Pune,Villa,16500000,3000,4,5500,60000,8,6,Moderate,Garden,High,Low,"(Investor, Business Owner, Entrepreneur)",200000-600000
Khandala,Near Karla Caves,Pune,Villa,24000000,4000,5,6000,85000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor)",300000+
Junnar,Near Shivneri Fort,Pune,House,5500000,2000,3,2750,15000,4,3,Moderate,Parking,Moderate,Moderate,"(Farmer, Local Businessman, Government Employee)",40000-150000
Otur,Near Junnar,Pune,House,5000000,1800,3,2778,14000,4,3,Moderate,Garden,Moderate,Moderate,"(Shop Owner, Agricultural Consultant, Teacher)",35000-120000
Manchar,Near Pune-Nashik Highway,Pune,Apartment,6700000,1100,2,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Retail Manager, Sales Executive, Pharmacist)",60000-150000
Pargaon,Near Bhigwan Road,Pune,House,4200000,1500,2,2800,10000,3,2,Moderate,Parking,Moderate,Moderate,"(Local Trader, Teacher, Hotel Owner)",30000-100000
Morgaon,Near Jejuri,Pune,House,4500000,1600,3,2813,12000,3,2,Moderate,Garden,Moderate,Moderate,"(Priest, Shop Owner, Guide)",35000-100000
Supa,Near MIDC Area,Pune,Apartment,6000000,1200,2,5000,16000,4,3,High,Gym,High,Low,"(Industrial Worker, IT Professional, Supervisor)",70000-200000
Velhe,Near Torna Fort,Pune,House,4800000,1700,3,2824,13000,3,2,Moderate,Security,Moderate,Moderate,"(Hotel Owner, Local Guide, Agriculture Consultant)",40000-110000
Nasrapur,Near NH-48,Pune,House,5200000,1800,3,2889,14000,4,3,Moderate,Parking,Moderate,Moderate,"(Government Employee, Businessman, Civil Engineer)",45000-130000
Uruli Kanchan,Near Railway Station,Pune,Apartment,7200000,1250,3,5760,21000,5,4,High,Gym,High,Low,"(Software Engineer, Teacher, Consultant)",80000-250000
Theur,Near Chintamani Temple,Pune,House,4900000,1700,3,2882,12000,3,2,Moderate,Parking,Moderate,Moderate,"(Religious Leader, Farmer, Shop Owner)",40000-110000
Paud,Near Mulshi Road,Pune,Villa,15000000,2800,4,5357,55000,8,6,High,Swimming Pool,High,Low,"(Business Owner, Investor, Corporate Executive)",200000-600000
Bhugaon,Near Chandani Chowk,Pune,Apartment,10200000,1500,3,6800,29000,6,5,Very High,Clubhouse,High,Low,"(IT Manager, Lawyer, Marketing Head)",150000-400000
Shivane,Near NDA Road,Pune,Apartment,8700000,1300,3,6692,26000,6,5,High,Gated Community,High,Low,"(Bank Manager, Software Developer, Real Estate Agent)",100000-350000
Uttamnagar,Near Warje,Pune,Apartment,9200000,1400,3,6571,28000,6,5,High,Gym,High,Low,"(Teacher, Financial Analyst, Sales Director)",100000-300000
Warje Malwadi,Near Sinhagad Road,Pune,Apartment,9500000,1450,3,6552,29000,6,5,High,Security,High,Low,"(Marketing Executive, IT Engineer, Consultant)",90000-280000
Dhayari,Near Narhe,Pune,Apartment,9000000,1400,3,6429,27000,6,5,High,Parking,High,Low,"(HR Manager, Retail Executive, Software Developer)",85000-250000
Ghotawade,Near Pirangut,Pune,Apartment,8500000,1300,3,6538,25000,5,4,High,Gated Security,High,Low,"(Project Engineer, Architect, Consultant)",80000-250000
Nere,Near Hinjewadi Phase 3,Pune,Apartment,7800000,1250,3,6240,22000,5,4,High,Security,High,Low,"(Software Engineer, Financial Consultant, Business Analyst)",70000-200000
Wadebolai,Near Wagholi,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant)",50000-120000
Kharki,Near Khadki Cantonment,Pune,Apartment,9800000,1350,3,7259,28000,6,5,High,Gym,High,Low,"(Military Officer, Government Employee, Business Consultant)",120000-350000
Dhomkhed,Near Alandi,Pune,House,4800000,1700,3,2824,13000,3,2,Moderate,Garden,Moderate,Moderate,"(Agricultural Consultant, Temple Priest, Retailer)",40000-120000
Kesnand,Near Wagholi,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager)",60000-150000
Bhima Koregaon,Near Pune-Ahmednagar Road,Pune,House,5200000,1800,3,2889,14000,4,3,Moderate,Garden,Moderate,Moderate,"(Farmer, Shop Owner, Local Businessman)",45000-130000
Koregaon Park,North Main Road,Pune,Apartment,18500000,1600,3,11563,50000,8,7,Very High,Gym,Very High,Low,"(Investment Banker, Entrepreneur, Senior Executive, Housemaid, Tailor, Watchman)",200000-800000
Baner,Baner Road,Pune,Apartment,14500000,1400,3,10357,38000,7,6,High,Clubhouse,High,Low,"(Software Engineer, Consultant, IT Director, Housemaid, Tailor, Watchman)",150000-500000
Balewadi,Balewadi High Street,Pune,Penthouse,16500000,2400,4,6875,85000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor, Housemaid, Tailor, Watchman)",300000+
Aundh,DP Road,Pune,Apartment,13500000,1500,3,9000,40000,7,6,High,Gated Security,High,Low,"(Doctor, Lawyer, Business Owner, Housemaid, Tailor, Watchman)",120000-400000
Aundh,Westend Colony,Pune,Apartment,13800000,1550,3,8900,42000,8,6,High,Clubhouse,High,Low,"(Bank Manager, Consultant, Architect, Housemaid, Tailor, Watchman)",120000-350000
Aundh,Sanghvi Nagar,Pune,Apartment,9800000,1300,2,7538,27000,6,5,High,Gated Society,High,Low,"(Marketing Executive, Software Engineer, Financial Analyst, Housemaid, Tailor, Watchman)",100000-300000
Hinjewadi,Phase 1,Pune,Apartment,12500000,1400,3,8929,35000,7,6,High,Gym,High,Low,"(Software Developer, Data Scientist, Product Manager, Housemaid, Tailor, Watchman)",100000-350000
Hinjewadi,Phase 2,Pune,Apartment,11500000,1300,3,8846,33000,6,5,High,Swimming Pool,High,Low,"(IT Consultant, Business Analyst, Software Tester, Housemaid, Tailor, Watchman)",80000-250000
Hinjewadi,Phase 3,Pune,Apartment,11000000,1250,2,8800,31000,5,5,High,Parking,High,Low,"(HR Manager, Data Engineer, QA Engineer, Housemaid, Tailor, Watchman)",75000-220000
Wakad,Dutta Mandir Road,Pune,Apartment,9800000,1300,3,7538,27000,6,5,High,Gated Society,High,Low,"(Software Engineer, Financial Analyst, Architect, Housemaid, Tailor, Watchman)",100000-300000
Wakad,Kaspate Vasti,Pune,Apartment,9600000,1200,3,8000,26000,5,4,High,Security,High,Low,"(Sales Executive, HR Professional, Business Consultant, Housemaid, Tailor, Watchman)",80000-250000
Tathawade,Near JSPM College,Pune,Apartment,7500000,1200,3,6250,20000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant, Housemaid, Tailor, Watchman)",50000-120000
Tathawade,Dange Chowk,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor, Housemaid, Tailor, Watchman)",60000-140000
Ravet,Akurdi Railway Station Area,Pune,Apartment,6800000,1000,2,6800,17000,4,3,Moderate,Gym,Moderate,Moderate,"(Engineer, Marketing Executive, Architect, Housemaid, Tailor, Watchman)",60000-150000
Ravet,Dehu Road,Pune,Apartment,7000000,1100,2,6364,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Manager, Software Developer, Consultant, Housemaid, Tailor, Watchman)",70000-180000
Pimple Saudagar,Kunal Icon Road,Pune,Apartment,9200000,1250,3,7360,27000,6,5,High,Gated Community,High,Low,"(IT Manager, Financial Analyst, Professor, Housemaid, Tailor, Watchman)",80000-200000
Pimple Saudagar,Kate Wasti,Pune,Apartment,8900000,1200,3,7417,26000,5,4,High,Gated Society,High,Low,"(Retail Manager, HR Executive, Civil Engineer, Housemaid, Tailor, Watchman)",70000-180000
Vishrantwadi,Airport Road,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager, Housemaid, Tailor, Watchman)",60000-150000
Hadapsar,Magarpatta Road,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent, Housemaid, Tailor, Watchman)",100000-500000
Magarpatta,South Gate,Pune,Apartment,12000000,1400,3,8571,38000,7,6,Very High,Clubhouse,Very High,Low,"(Corporate Executive, IT Director, Business Owner, Housemaid, Tailor, Watchman)",200000-600000
Kharadi,EON IT Park,Pune,Apartment,11500000,1400,3,8214,35000,7,6,Very High,Gated Community,Very High,Low,"(Software Engineer, Investment Banker, Startup Founder, Housemaid, Tailor, Watchman)",150000-500000
Wagholi,Raisoni College Area,Pune,Apartment,5400000,950,2,5684,14000,3,2,Moderate,Gated Society,Moderate,Moderate,"(Students, Software Trainee, Freelancer, Housemaid, Tailor, Watchman)",30000-100000
Wagholi,Bakori Road,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(College Lecturer, Sales Executive, Graphic Designer, Housemaid, Tailor, Watchman)",50000-120000
Dhanori,DY Patil College Road,Pune,Apartment,6700000,1100,3,6091,18000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager, Housemaid, Tailor, Watchman)",60000-150000
Mundhwa,Keshav Nagar,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur, Housemaid, Tailor, Watchman)",100000-300000
Vadgaon Sheri,Near Nagar Road,Pune,Apartment,9700000,1300,3,7462,28000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager, Housemaid, Tailor, Watchman)",100000-300000
Kalyani Nagar,Gold Adlabs Area,Pune,Apartment,12500000,1500,3,8333,40000,8,6,Very High,Gym,Very High,Low,"(Investment Banker, Senior Consultant, Business Owner, Housemaid, Tailor, Watchman)",200000-600000
Bavdhan,Chandani Chowk,Pune,Apartment,9800000,1400,3,7000,25000,6,5,High,Security,High,Low,"(Software Engineer, Consultant, Business Analyst, Housemaid, Tailor, Watchman)",100000-250000
Undri,Near Bishop’s School,Pune,Apartment,7200000,1100,3,6545,18000,5,4,Moderate,Gym,Moderate,Moderate,"(Professor, Architect, Marketing Professional, Housemaid, Tailor, Watchman)",60000-200000
Koregaon Park,Lane 5,Pune,Apartment,19500000,1700,3,11471,55000,9,8,Very High,Gated Security,Very High,Low,"(Entrepreneur, Consultant, Investment Banker, Housemaid, Tailor, Watchman)",250000-800000
Koregaon Park,Lane 7,Pune,Penthouse,35000000,3000,4,11667,120000,10,9,Very High,Swimming Pool,Very High,Low,"(CEO, Business Owner, Investor, Housemaid, Tailor, Watchman)",400000-1000000
Viman Nagar,Near Symbiosis College,Pune,Apartment,16000000,1500,3,10667,45000,8,7,Very High,Gym,Very High,Low,"(Corporate Executive, IT Professional, Marketing Director, Housemaid, Tailor, Watchman)",200000-600000
Viman Nagar,Town Square,Pune,Apartment,14000000,1300,3,10769,38000,7,6,Very High,Parking,Very High,Low,"(Software Engineer, Analyst, Business Consultant, Housemaid, Tailor, Watchman)",150000-450000
Kharadi,World Trade Center Area,Pune,Apartment,12500000,1400,3,8929,35000,7,6,Very High,Clubhouse,Very High,Low,"(Software Developer, Investment Banker, Startup Founder, Housemaid, Tailor, Watchman)",150000-500000
Kharadi,Riverdale,Pune,Apartment,9800000,1300,3,7538,28000,6,5,High,Gated Society,High,Low,"(Data Scientist, Financial Analyst, Sales Executive, Housemaid, Tailor, Watchman)",100000-350000
Hinjewadi,Phase 1,Pune,Apartment,11500000,1400,3,8214,32000,7,6,High,Gym,High,Low,"(IT Consultant, Business Analyst, Software Engineer, Housemaid, Tailor, Watchman)",80000-250000
Hinjewadi,Phase 3,Pune,Villa,25000000,2800,4,8929,65000,9,7,High,Swimming Pool,High,Low,"(Tech Lead, Senior Product Manager, IT Director, Housemaid, Tailor, Watchman)",200000-500000
Baner,Pancard Club Road,Pune,Apartment,15000000,1500,3,10000,40000,7,6,High,Clubhouse,High,Low,"(Senior Engineer, Doctor, Lawyer, Housemaid, Tailor, Watchman)",120000-400000
Baner,Veerbhadra Nagar,Pune,Apartment,9800000,1300,2,7538,28000,6,5,High,Gated Security,High,Low,"(Marketing Executive, Data Analyst, IT Professional, Housemaid, Tailor, Watchman)",100000-300000
Balewadi,Balewadi High Street,Pune,Penthouse,17000000,2400,4,7083,90000,9,7,Very High,Swimming Pool,Very High,Low,"(Startup Founder, Senior Executive, Investor, Housemaid, Tailor, Watchman)",300000+
Aundh,Baner Road,Pune,Apartment,13500000,1450,3,9310,41000,7,6,High,Gated Security,High,Low,"(Doctor, Lawyer, Business Owner, Housemaid, Tailor, Watchman)",120000-400000
Aundh,Seasons Road,Pune,Apartment,14000000,1550,3,9032,42000,8,6,High,Clubhouse,High,Low,"(Bank Manager, Consultant, Architect, Housemaid, Tailor, Watchman)",120000-350000
Wakad,Vishal Nagar,Pune,Apartment,9800000,1300,3,7538,28000,6,5,High,Gated Society,High,Low,"(Software Engineer, Financial Analyst, Architect, Housemaid, Tailor, Watchman)",100000-300000
Wakad,Datta Mandir Road,Pune,Apartment,9400000,1250,2,7520,25000,5,4,High,Security,High,Low,"(Sales Executive, HR Professional, Business Consultant, Housemaid, Tailor, Watchman)",80000-250000
Tathawade,Near JSPM College,Pune,Apartment,7700000,1200,3,6417,22000,5,4,Moderate,Parking,Moderate,Moderate,"(Professor, Pharmacist, Accountant, Housemaid, Tailor, Watchman)",50000-120000
Tathawade,Krishna Chowk,Pune,Apartment,8000000,1300,3,6154,24000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor, Housemaid, Tailor, Watchman)",60000-140000
Ravet,Sentosa Resort Area,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Gym,Moderate,Moderate,"(Engineer, Marketing Executive, Architect, Housemaid, Tailor, Watchman)",60000-150000
Ravet,Dehu Road,Pune,Apartment,7000000,1050,2,6667,17000,4,3,Moderate,Parking,Moderate,Moderate,"(Sales Manager, Software Developer, Consultant, Housemaid, Tailor, Watchman)",70000-180000
Kalyani Nagar,Gold Adlabs Area,Pune,Apartment,12500000,1500,3,8333,40000,8,6,Very High,Gym,Very High,Low,"(Investment Banker, Senior Consultant, Business Owner, Housemaid, Tailor, Watchman)",200000-600000
Magarpatta,Near DC Office,Pune,Apartment,11000000,1400,3,7857,35000,7,6,Very High,Gated Security,Very High,Low,"(Corporate Executive, IT Director, Business Owner, Housemaid, Tailor, Watchman)",200000-600000
Dhanori,DY Patil College Road,Pune,Apartment,7500000,1200,3,6250,20000,4,3,Moderate,Security,Moderate,Moderate,"(Software Developer, Marketing Professional, HR Manager, Housemaid, Tailor, Watchman)",60000-150000
Mundhwa,Keshav Nagar,Pune,Apartment,10500000,1400,3,7500,32000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur, Housemaid, Tailor, Watchman)",100000-300000
Vadgaon Sheri,Near Nagar Road,Pune,Apartment,9700000,1300,3,7462,28000,6,5,High,Gated Security,High,Low,"(IT Professional, Financial Analyst, Marketing Manager, Housemaid, Tailor, Watchman)",100000-300000
Lohegaon,Near Airport Road,Pune,Apartment,6200000,1100,3,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Retail Manager, HR Executive, Civil Engineer, Housemaid, Tailor, Watchman)",70000-180000
Katraj,Balaji Nagar,Pune,Apartment,5800000,1050,2,5524,15000,4,3,Moderate,Gym,Moderate,Moderate,"(Teacher, Nurse, Store Manager, Housemaid, Tailor, Watchman)",50000-120000
Nanded City,Nanded Bridge Area,Pune,Apartment,9000000,1400,3,6429,25000,6,5,High,Gated Community,High,Low,"(IT Consultant, Marketing Director, Engineer, Housemaid, Tailor, Watchman)",100000-250000
Hadapsar,Magarpatta Road,Pune,Apartment,8700000,1200,3,7250,25000,6,5,High,Gym,High,Low,"(Doctor, Consultant, Real Estate Agent, Housemaid, Tailor, Watchman)",100000-500000
Shivaji Nagar,Jangli Maharaj Road,Pune,Apartment,19500000,1600,3,12188,50000,9,8,Very High,Clubhouse,Very High,Low,"(Lawyer, Professor, Senior Business Consultant, Housemaid, Tailor, Watchman)",200000-700000
Sinhagad Road,Near Navale Bridge,Pune,Apartment,6500000,1100,3,5909,18000,4,3,Moderate,Gym,Moderate,Moderate,"(Bank Employee, Teacher, Civil Engineer, Housemaid, Tailor, Watchman)",60000-150000
Kondhwa,Salunke Vihar,Pune,Apartment,7800000,1200,3,6500,20000,5,4,Moderate,Security,Moderate,Moderate,"(Small Business Owner, Software Engineer, HR Professional, Housemaid, Tailor, Watchman)",80000-200000
Shivajinagar,Model Colony,Pune,Apartment,14500000,1350,3,10741,42000,8,7,Very High,Gated Community,Very High,Low,"(Lawyer, Investment Banker, Professor, Housemaid, Tailor, Watchman)",180000-600000
Kondhwa,NIBM Road,Pune,Apartment,9800000,1400,3,7000,27000,6,5,High,Gym,High,Low,"(Software Engineer, HR Manager, Digital Marketer, Housemaid, Tailor, Watchman)",100000-300000
Lohegaon,Airport Road,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Pilot, Air Traffic Controller, Security Analyst, Housemaid, Tailor, Watchman)",70000-250000
BT Kawade Road,Ganga Satellite,Pune,Apartment,11500000,1300,3,8846,35000,7,6,Very High,Clubhouse,Very High,Low,"(IT Consultant, Senior Analyst, Doctor, Housemaid, Tailor, Watchman)",150000-450000
Warje,Atul Nagar,Pune,Apartment,7600000,1200,2,6333,22000,5,4,Moderate,Security,Moderate,Moderate,"(Teacher, Sales Manager, Architect, Housemaid, Tailor, Watchman)",60000-180000
Vadgaon Budruk,Sinhagad Road,Pune,Apartment,8500000,1300,3,6538,25000,6,5,High,Gated Society,High,Low,"(Finance Executive, Consultant, Lawyer, Housemaid, Tailor, Watchman)",80000-250000
Pashan,Pashan Sus Road,Pune,Apartment,11200000,1450,3,7724,33000,7,6,High,Clubhouse,High,Low,"(Professor, Data Scientist, Entrepreneur, Housemaid, Tailor, Watchman)",150000-500000
Bhugaon,Near Manas Lake,Pune,Apartment,9500000,1400,3,6785,28000,5,4,Moderate,Parking,Moderate,Moderate,"(Bank Manager, Investment Advisor, Consultant, Housemaid, Tailor, Watchman)",90000-300000
Chakan,Chakan MIDC,Pune,Apartment,7800000,1200,3,6500,22000,5,4,Moderate,Gated Security,Moderate,Moderate,"(Factory Manager, Engineer, Technician, Housemaid, Tailor, Watchman)",70000-200000
Talegaon Dabhade,Near Talegaon Station,Pune,Apartment,6200000,1100,2,5636,16000,4,3,Moderate,Security,Moderate,Moderate,"(Mechanical Engineer, Logistic Manager, Teacher, Housemaid, Tailor, Watchman)",50000-150000
Lonavala,Tungarli,Lonavala,Villa,28500000,4000,5,7125,95000,9,8,Very High,Swimming Pool,Very High,Low,"(Entrepreneur, Hotelier, Bollywood Executive, Housemaid, Tailor, Watchman)",500000+
Kamshet,Kamshet Hills,Pune,Villa,31000000,4200,5,7381,98000,8,7,Very High,Gym,Very High,Low,"(Retired Industrialist, Investor, Director, Housemaid, Tailor, Watchman)",500000+
Charoli,Near DY Patil College,Pune,Apartment,5600000,1000,2,5600,15000,3,2,Moderate,Security,Moderate,Moderate,"(Student, IT Trainee, Freelancer, Housemaid, Tailor, Watchman)",30000-100000
Bhosari,Indrayani Nagar,Pune,Apartment,6800000,1100,2,6182,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Factory Worker, Supervisor, Shop Owner, Housemaid, Tailor, Watchman)",50000-150000
Alandi,Dehu Phata,Pune,Apartment,6200000,1050,2,5905,16000,4,3,Moderate,Security,Moderate,Moderate,"(Priest, Shopkeeper, Event Organizer, Housemaid, Tailor, Watchman)",50000-120000
Pimpri,Sant Tukaram Nagar,Pune,Apartment,7800000,1250,3,6240,22000,6,4,Moderate,Gym,Moderate,Moderate,"(Marketing Manager, IT Support, Financial Advisor, Housemaid, Tailor, Watchman)",60000-140000
Chinchwad,Chapekar Chowk,Pune,Apartment,9200000,1250,3,7360,27000,6,5,High,Gated Community,High,Low,"(IT Manager, Financial Analyst, Professor, Housemaid, Tailor, Watchman)",80000-200000
Nigdi,Pradhikaran,Pune,Apartment,8900000,1200,3,7417,26000,5,4,High,Gated Society,High,Low,"(Retail Manager, HR Executive, Civil Engineer, Housemaid, Tailor, Watchman)",70000-180000
Katraj,Katraj Dairy Area,Pune,Apartment,7200000,1100,2,6545,18000,4,3,Moderate,Parking,Moderate,Moderate,"(Business Owner, Pharmacist, Fitness Trainer, Housemaid, Tailor, Watchman)",70000-200000
Kondhwa,Kausar Baug,Pune,Apartment,9800000,1300,3,7538,27000,6,5,High,Gated Society,High,Low,"(Doctor, Digital Marketer, Business Consultant, Housemaid, Tailor, Watchman)",100000-300000
Wanowrie,Salunke Vihar Road,Pune,Apartment,10500000,1400,3,7500,30000,6,5,Very High,Security,High,Low,"(Software Engineer, Consultant, Entrepreneur, Housemaid, Tailor, Watchman)",100000-300000
